juv,mum,sex,start,end,mum_juv_year,mj.gg,mj.gm,mj.rc
dubl,dixi,M,2010-03-05,2011-03-05,2,0.029734675205855442,0.029734675205855442,0.02081427264409881
dubl,dixi,M,2011-03-05,2012-03-04,3,0.039235616995324255,0.039235616995324255,0.014027241309209189
dubl,dixi,M,2012-03-04,2013-03-04,4,0.014087559601213698,0.011920242739488513,0.007152145643693108
dubl,dixi,M,2013-03-04,2014-03-04,5,0.01311336717428088,0.00951776649746193,0.01967005076142132
dubl,dixi,M,2014-03-04,2015-03-04,6,0.017412935323383085,0.012437810945273632,0.013930348258706468
dubl,dixi,M,2015-03-04,2015-08-01,7,0.004542873367404884,0.004542873367404884,0.0017035775127768314
fris,flet,M,2009-02-26,2010-02-26,1,0.0032846715328467154,0.0032846715328467154,0.24343065693430657
fris,flet,M,2010-02-26,2010-10-30,2,0.02925925925925926,0.02925925925925926,0.052592592592592594
kabu,kayl,F,2013-04-18,2014-04-18,1,0.027694929697486152,0.027268853855986364,0.26224968044311886
kabu,kayl,F,2014-04-18,2015-04-18,2,0.03018500486854917,0.028237585199610515,0.04771178188899708
kabu,kayl,F,2015-04-18,2015-08-01,3,0.007569386038687973,0.007569386038687973,0.01934398654331371
keny,kayl,M,2010-02-07,2011-02-07,1,0.015471167369901548,0.015471167369901548,0.23709061683745228
keny,kayl,M,2011-02-07,2012-02-07,2,0.02533748701973001,0.02533748701973001,0.04714434060228453
keny,kayl,M,2012-02-07,2013-02-06,3,0.021643202353435597,0.01765076696785039,0.014498844295019962
keny,kayl,M,2013-02-06,2014-02-06,4,0.0038014783526927136,0.0029567053854276664,0.01457233368532207
keny,kayl,M,2014-02-06,2015-02-06,5,0.019636720667648502,0.014236622484045164,0.007363770250368188
keny,kayl,M,2015-02-06,2015-08-01,6,0.009649568308786187,0.0035551041137633316,0.0045708481462671405
king,kipp,M,2011-11-02,2012-11-01,1,0.014322359982898675,0.014322359982898675,0.25972637879435656
king,kipp,M,2012-11-01,2013-11-01,2,0.042161277118297175,0.04195661072451903,0.03929594760540319
king,kipp,M,2013-11-01,2014-11-01,3,0.020766773162939296,0.019169329073482427,0.016430853491556367
king,kipp,M,2014-11-01,2015-08-01,4,0.024872231686541738,0.015672913117546847,0.0282793867120954
mayh,mixu,F,2010-03-14,2011-03-14,1,0.007896468523799079,0.007896468523799079,0.16012283395481466
mayh,mixu,F,2011-03-14,2012-03-13,2,0.021534601714405185,0.020907380305247754,0.024252561154087394
mayh,mixu,F,2012-03-13,2013-03-13,3,0.024784709094728,0.019743751312749424,0.03696702373450956
mayh,mixu,F,2013-03-13,2014-03-13,4,0.003869303525365434,0.0023645743766122097,0.010963026655202063
mayh,mixu,F,2014-03-13,2015-03-13,5,0.019460726846424383,0.014536928487690504,0.003985932004689332
mayh,mixu,F,2015-03-13,2015-08-01,6,0.02666666666666667,0.02181818181818182,0.0030303030303030303
mend,merl,F,2010-02-03,2011-02-03,1,0.02476780185758514,0.02476780185758514,0.2707946336429309
mend,merl,F,2011-02-03,2012-02-03,2,0.029352226720647773,0.02834008097165992,0.041093117408906886
mend,merl,F,2012-02-03,2013-02-02,3,0.0410201912858661,0.034218916046758766,0.011052072263549416
mend,merl,F,2013-02-02,2014-02-02,4,0.030354489492676714,0.02207599235831034,0.01379749522394396
mend,merl,F,2014-02-02,2015-02-02,5,0.05209595347710201,0.03028834504482675,0.010419190695420402
mend,merl,F,2015-02-02,2015-08-01,6,0.01179245283018868,0.006603773584905661,0.007075471698113208
mole,merl,F,2013-04-16,2014-04-16,1,0.010050251256281407,0.010050251256281407,0.2617252931323283
mole,merl,F,2014-04-16,2015-04-16,2,0.015513126491646777,0.015513126491646777,0.019331742243436756
mole,merl,F,2015-04-16,2015-08-01,3,0.006557377049180328,0.004098360655737705,0.007377049180327869
onyx,opal,M,2013-02-10,2014-02-10,1,0.0074930421751231,0.007278955255833868,0.24234639263540997
onyx,opal,M,2014-02-10,2015-02-10,2,0.02698760029175784,0.02698760029175784,0.04400680768295648
onyx,opal,M,2015-02-10,2015-08-01,3,0.016845329249617153,0.01174068402246044,0.05257784583971414
